,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
274,7/14/22 20:50,West Melbourne,FL,USA,Cylinder,10 min,It was an aura surrounding a light with a flashing light following behind it,9/9/22,
275,7/14/22 20:48,Hollywood,FL,USA,Light,3 minutes,Round silent white traveling west to east flying erratically leaving smoke trail.,9/9/22,Yes
276,7/14/22 20:45,Jupiter,FL,USA,Unknown,Maybe 5-8 minutes,Strange cloud formation and an object flying out from it moving very slow,9/9/22,
277,7/14/22 20:27,Marshall,TX,USA,Other,2 minutes,I saw a bright object resembling a plane with one wing go across the sky and a fake cloud with super fast disc fling underneath it,10/8/22,Yes
278,7/14/22 20:20,Phoenix,AZ,USA,Light,15 minutes,"Steady green light hovering 1-2 min, change to red bright, intense, 1 min then green, 6 degree west 2 sec hover E original fade south",9/9/22,
279,7/14/22 18:11,Skelmersdale,Lancashire,United Kingdom,Oval,29 seconds,"We sat in a hut having a smoke and chat, I suddenly stopped and said look at that!",10/8/22,Yes
280,7/14/22 14:56,Norwalk,CT,USA,,5 minutes,Figure over South Norwalk,9/9/22,Yes
281,7/14/22 14:00,Smith Mills,KY,USA,Cigar,,Saw a very bright light coming from toward the river,10/8/22,
282,7/14/22 12:51,YPSILANTI,MI,USA,Circle,,UFO flies up to Blue Angel Jet during Air show practice,10/8/22,Yes
283,7/14/22 08:40,Fripp Island,SC,USA,Light,15 seconds,Red light moving,9/9/22,
284,7/14/22 05:40,Blayney,New South Wales,Australia,,90 - 120 seconds,A long string of star size lights,9/9/22,
285,7/14/22 02:30,Moffat,CO,USA,Other,an hour at least,"Golden Geometrical cube rotating in the sky for long period of time, looked 3D",10/8/22,
286,7/14/22 02:17,Merthyr Tydfil,null,United Kingdom,Star,I fink all night,"It looked like a star, but the stars don't shine that hard",9/9/22,Yes
287,7/14/22 01:32,Morganton,NC,USA,Changing,Unknown,Changing pinkish white geometric orb,9/9/22,
288,7/14/22 01:05,Memphis,TN,USA,Changing,I watched for 2 hours,Triangular bright changing shape and color,9/9/22,
289,7/14/22 00:55,Manchester,Bolton,United Kingdom,Circle,1 min 37 seconds,Back garden look up and saw bright light,9/9/22,
290,7/14/22 00:14,New Smyrna Beach,FL,USA,Unknown,Not sure. At least 20sec,A glowing object moving around off the coast of New Smyrna beach,9/9/22,
291,7/13/22 23:56,Jefferson City,TN,USA,Triangle,5 minutes,We were driving home and at first we thought it was a plane upon getting closer we both observed the object litteraly hovering,9/9/22,
292,7/13/22 23:40,Regina,SA,Canada,Disk,2 seconds,While watching a large thunderstorm an oval disk shaped craft was illuminated against the clouds it floated up and right and disapeared,9/9/22,
293,7/13/22 23:04,Stirling,Stirling,United Kingdom,Light,Aprox 5 mins,"2 Lights hovering, moving after short period",9/9/22,
294,7/13/22 23:00,Garland,TX,USA,Circle,15 seconds,I saw a red/green spherical object on my roof,9/9/22,
295,7/13/22 22:00,Ewing,NJ,USA,Light,2 minutes,Looking up saw light flying across sky and over my house,9/9/22,
296,7/13/22 21:22,Huntley,MT,USA,,30 seconds,Hovering Light,9/9/22,Yes
297,7/13/22 20:30,Hazel Green,WI,USA,Oval,About five minutes.,Two UFO’s flew past each other in opposite directions.,9/9/22,Yes
298,7/13/22 20:03,Smyrna,TN,USA,Sphere,Saw 30 - 45 secs. before,"Leaving store noticed beautiful sky, loaded groceries, driving in car looked at sky again, saw sphere at high alt., recorded it.",9/9/22,
299,7/13/22 20:00,Dayton,NV,USA,Sphere,6 seconds,Bright light suddenly appears above commercial plane,9/9/22,
300,7/13/22 20:00,Abbotsford,BC,Canada,Disk,1 to 2 minutes,We saw a disk shaped object clearly leave Mt Baker and disappear straight up,9/9/22,
301,7/13/22 18:45,Beaver Island,MI,USA,Cylinder,one millisecond,VERY FAST whoosh that was heard and also felt/sensed,9/9/22,
302,7/13/22 12:15,CROSS,SC,USA,Diamond,20 minutes,I was out side late at night about the same place the encounter took place,9/9/22,
303,7/13/22 09:23,Louisville,KY,USA,Circle,In my view for ten minute,"2 orbs, one higher up, both alternating flashing bright white light in 2 second intervals",9/9/22,Yes
304,7/13/22 05:52,Lawrence,MA,USA,Disk,Maybe 1 minute,All metal disc with blue light. After some seconds it just teleported ahead within a second.,9/9/22,
305,7/13/22 04:13,Titonka,IA,USA,Light,2-3 minutes,A very bright and constant light in the northern night sky silently moved east and then south before trees blocked view.,9/9/22,
306,7/13/22 03:45,West Deptford,NJ,USA,Light,30 minutes,"Stationary source of incredibly bright white light, flashing blue to white, puffs of white light shot out of sides.",9/9/22,
307,7/13/22 03:25,San Augustine,TX,USA,Circle,2 Minutes,Watched what I thought was a star or planet move very oddly and then move to 2 different locations I directed it to with my mind.,9/9/22,
308,7/13/22 01:20,Chadderton Oldham,,United Kingdom,Unknown,2 cctv vids of 20 secs,Two vids showing swirling bright bird like image and light pulses on lawn,9/9/22,
