,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
21,11/26/22 17:22,Island Pond,,,Light,1min 15sec,Low flying white light moving west to east.,12/22/22,
22,11/26/22 16:30,Phila,PA,USA,Fireball,5 min,"Stationary fireball type object ,with horned type flames from top.  ((NUFORC Note:  Contrail.  PD))",12/22/22,
23,11/26/22 14:17,Mount Holly,NJ,USA,Cone,3 seconds,"Driving up the bypass I witnessed a metallic almost glassy cone shaped object. It was upright and vertical, and was rotating.",12/22/22,Yes
24,11/26/22 00:30,Wenatchee,WA,USA,Circle,Several,I woke up and saw this outside of my window. I kept watching and then recorded.,12/22/22,
25,11/26/22 00:00,Port Orchard,WA,USA,Unknown,3 hours,Coming from west. Can't see it.,12/22/22,
26,11/25/22 22:27,Satellite beach,FL,USA,Light,"Maybe 5 minutes, hard to","Light off the ocean, thought it was a star then grew brighter and came closer to shore, then abruptly flew to horizon and vanished",12/22/22,
27,11/25/22 20:30,Greenwich,CT,USA,Sphere,15 minutes and contining,Was walking dog and saw four circling lights moving rapidly and then coalescinng,12/22/22,
28,11/25/22 19:15,Sherwood Tigard,OR,USA,Light,Twice 3-5min,Fast glowing lights just above clouds,12/22/22,
29,11/25/22 19:05,San Jose,CA,USA,Triangle,5 minutes,Ufo falling from outerspace,12/22/22,
30,11/25/22 18:30,Lemon Grove,CA,USA,Changing,3 hours,"Every night these lights appear, and will even fallow when I leave. Pulse at my phone",12/22/22,
31,11/24/22 21:25,lockford,CA,USA,Light,3 seconds,intense red light hovering then moving towards ground quickly.,12/22/22,
32,11/24/22 20:34,Huntley,MT,USA,Cylinder,20 minutes,Aspirin shaped craft,12/22/22,Yes
33,11/24/22 20:22,London,London Borough of Islington,United Kingdom,Triangle,About 3 minutes,I saw a craft shaped like a bumerang with bright lights all over the sides of it,12/22/22,Yes
34,11/24/22 19:45,Fairfield,,,Circle,,Bright reddish orange light visable for approx. 25 to 30 seconds then disappeared,12/22/22,
35,11/24/22 18:30,Wausau,WI,USA,Unknown,6 min,It was blinking lights unsure about the shape it was too high,12/22/22,
36,11/24/22 10:20,ste-sophie,Quebec,Canada,Cylinder,10 sec,space,12/22/22,
37,11/24/22 04:23,New Lisbon,WI,USA,Circle,1 photo on trail camera,I have pics on trail cameras from different areas on my property,12/22/22,
38,11/23/22 23:01,Albuquerque,NM,USA,Oval,approximately 10 minutes,appeared to be hovering about the houses in my neighborhood moving very slowly.,12/22/22,
39,11/23/22 22:55,Thamesford,ON,Canada,Light,Several minutes,Round light - gradually growers brighter and bigger,12/22/22,
40,11/23/22 22:48,Sea Isle,NJ,USA,Other,10 seconds,"Clear sky, floating orange glow clearly not standard aircraft",12/22/22,Yes
41,11/23/22 22:15,Between Centerview and alone Jack,MO,USA,Light,About 30 mins,"Saw lights flashing through the sky over the highway in all directions. Formed circle and rotated, kept getting large then small",12/22/22,
42,11/23/22 20:12,Normal,IL,USA,Changing,10 minutes max,"Gazing out South SW we saw 3 changing objects. Diamond, cylinder, tic tac, house shape, w blue, yellow, orange. They bounced around.",12/22/22,Yes
43,11/23/22 20:00,Yonkers,NY,USA,Circle,5 minutes,Numerous objects north to southwest,12/22/22,
44,11/23/22 20:00,Fishers,IN,USA,Light,10 minutes,"LIne of round lights moving south to north in single file (white light with reddish tint) -- definitely ""flying""",12/22/22,
45,11/23/22 19:15,Normal,IL,USA,Changing,10 minutes,"I saw and recorded changing UAP, shapes and changing colors, it ping ponged around the sky, I have crazy screenshots of my 8 min video",12/22/22,Yes
46,11/23/22 18:20,Deming,,USA,Changing,less than ten seconds,"Heard an animal howl, went out front door to investigate. Heard a loud mechanical buzz then saw lights.",12/22/22,
47,11/23/22 11:27,Independence,OH,USA,Disk,40 seconds,"UFO displaying advanced camouflage, it showed an outline of itself when it went over power lines, it seemed to reflect light around",12/22/22,Yes
48,11/23/22 02:45,Huachuca City,AZ,USA,Sphere,Over an hour.,Spotted object in the eastern sky when letting my dog out.,12/22/22,Yes
49,11/23/22 00:30,Flora,,,Triangle,8 seconds,The craft flew over my house at 12:30AM completely silent and no lights while I was outside with my dog.,12/22/22,
50,11/22/22 22:50,Pittsburgh,PA,USA,Cross,10-15 minutes,Two brightly lit objects appeared simultaneously on the horizon flying over our home approximately 5 -,12/22/22,
51,11/22/22 22:00,Las Vegas,NV,USA,Teardrop,Seconds,Bright glowing green object,12/22/22,
52,11/22/22 21:38,Bridgeport,CT,USA,Triangle,10-13 seconds,One flying unidentified object seen. There were blue and red lights flashing. The color changed from blue to red and red to blue quick.,12/22/22,Yes
53,11/22/22 20:32,Sunman,IN,USA,Light,2 seconds,"2 seconds light, 5000-ish ft high, traveling east to west. Could not hear engine or nothing, absolute silence.",12/22/22,
54,11/22/22 18:30,North Branford,CT,USA,Triangle,,One with triangle light sequence one very bright,12/22/22,
